Epoka [1/200] | Batch [4021/6813] | Loss: 0.2181
Epoka [1/200] | Batch [4031/6813] | Loss: 0.3099
Epoka [1/200] | Batch [4041/6813] | Loss: 0.1284
Epoka [1/200] | Batch [4051/6813] | Loss: 0.2448
Epoka [1/200] | Batch [4061/6813] | Loss: 0.4191
Epoka [1/200] | Batch [4071/6813] | Loss: 0.2581
Epoka [1/200] | Batch [4081/6813] | Loss: 0.3782
Epoka [1/200] | Batch [4091/6813] | Loss: 0.3711
Epoka [1/200] | Batch [4101/6813] | Loss: 0.1831
Epoka [1/200] | Batch [4111/6813] | Loss: 0.2866
Epoka [1/200] | Batch [4121/6813] | Loss: 0.2375
Epoka [1/200] | Batch [4131/6813] | Loss: 0.2178
Epoka [1/200] | Batch [4141/6813] | Loss: 0.2855
Epoka [1/200] | Batch [4151/6813] | Loss: 0.2222
Epoka [1/200] | Batch [4161/6813] | Loss: 0.1801
Epoka [1/200] | Batch [4171/6813] | Loss: 0.4332
Epoka [1/200] | Batch [4181/6813] | Loss: 0.1681
Epoka [1/200] | Batch [4191/6813] | Loss: 0.1379
Epoka [1/200] | Batch [4201/6813] | Loss: 0.1823
Epoka [1/200] | Batch [4211/6813] | Loss: 0.3567
Epoka [1/200] | Batch [4221/6813] | Loss: 0.2817
Epoka [1/200] | Batch [4231/6813] | Loss: 0.1439
Epoka [1/200] | Batch [4241/6813] | Loss: 0.2446
Epoka [1/200] | Batch [4251/6813] | Loss: 0.1996
Epoka [1/200] | Batch [4261/6813] | Loss: 0.1624
Epoka [1/200] | Batch [4271/6813] | Loss: 0.1831
Epoka [1/200] | Batch [4281/6813] | Loss: 0.3989
Epoka [1/200] | Batch [4291/6813] | Loss: 0.3255
Epoka [1/200] | Batch [4301/6813] | Loss: 0.3086
Epoka [1/200] | Batch [4311/6813] | Loss: 0.1623
Epoka [1/200] | Batch [4321/6813] | Loss: 0.1352
Epoka [1/200] | Batch [4331/6813] | Loss: 0.1955
Epoka [1/200] | Batch [4341/6813] | Loss: 0.2678
Epoka [1/200] | Batch [4351/6813] | Loss: 0.3451
Epoka [1/200] | Batch [4361/6813] | Loss: 0.2524
Epoka [1/200] | Batch [4371/6813] | Loss: 0.2327
Epoka [1/200] | Batch [4381/6813] | Loss: 0.2024
Epoka [1/200] | Batch [4391/6813] | Loss: 0.3154
Epoka [1/200] | Batch [4401/6813] | Loss: 0.2842
Epoka [1/200] | Batch [4411/6813] | Loss: 0.3214
Epoka [1/200] | Batch [4421/6813] | Loss: 0.2106
Epoka [1/200] | Batch [4431/6813] | Loss: 0.2519
Epoka [1/200] | Batch [4441/6813] | Loss: 0.3107
Epoka [1/200] | Batch [4451/6813] | Loss: 0.3028
Epoka [1/200] | Batch [4461/6813] | Loss: 0.2047
Epoka [1/200] | Batch [4471/6813] | Loss: 0.2821
Epoka [1/200] | Batch [4481/6813] | Loss: 0.4557
Epoka [1/200] | Batch [4491/6813] | Loss: 0.1834
Epoka [1/200] | Batch [4501/6813] | Loss: 0.1444
Epoka [1/200] | Batch [4511/6813] | Loss: 0.3130
Epoka [1/200] | Batch [4521/6813] | Loss: 0.3456
Epoka [1/200] | Batch [4531/6813] | Loss: 0.2037
